,Symbol,LM,RFM
0,MMM,207.54619408269807,208.26914078832877
1,AOS,52.56248422592538,52.493999804545474
2,ABT,78.66837161103956,77.01384999999999
3,ABBV,80.08808450238412,80.01025433259355
4,ACN,164.17314528876437,162.70206098308094
5,ATVI,42.87785194975642,42.46664754873948
6,AYI,132.46382150552083,131.4759514935403
7,ADBE,264.3276265869083,264.427639702381
8,AAP,160.54344438778915,160.8725602218797
9,AMD,23.60051888247982,24.021571904761913
10,AES,17.511236532648354,17.30177499999998
11,AET,212.33036610832866,210.57659999999981
12,AMG,110.96146607529339,109.96357894761344
13,AFL,49.17598516614869,49.029916666666686
14,A,81.27254159785141,79.3947
15,APD,180.07052964557943,180.78389999999993
16,AKAM,71.0313315810673,71.26599793215217
17,ALK,61.35710185546052,61.38773324724938
18,ALB,90.88485765824385,91.08766162202606
19,ARE,135.88911184783825,135.3911
